GO_BP	Gene_Size	Gene_List
GO:0000086:G2/M transition of mitotic cell cycle	133	ABCB1,ACTR1A,AJUBA,AKAP9,ALMS1,ARPP19,AURKA,BORA,BRSK1,BRSK2,BTRC,CALM3,CCNA2,CCNB1,CCNB2,CCNH,CCNY,CCP110,CDC25A,CDC25B,CDC25C,CDK1,CDK14,CDK2,CDK5RAP2,CDK7,CDKN1A,CDKN2B,CENPJ,CEP131,CEP135,CEP152,CEP164,CEP192,CEP250,CEP290,CEP41,CEP57,CEP63,CEP70,CEP72,CEP76,CEP78,CETN2,CHEK2,CKAP5,CLASP1,CNTRL,CSNK1D,CSNK1E,CUL1,DCTN1,DCTN2,DCTN3,DNM2,DYNC1H1,DYNC1I2,DYNLL1,ENSA,FBXL12,FBXL15,FBXL18,FBXL21P,FBXL22,FBXL3,FBXL7,FBXL8,FBXW11,FGFR1OP,FOXM1,HAUS1,HAUS2,HAUS3,HAUS4,HAUS5,HAUS6,HAUS7,HAUS8,HSP90AA1,J3QRK9,KAT14,KDM8,KHDRBS1,LATS1,LCMT1,MAPRE1,MASTL,MELK,MNAT1,NDE1,NEDD1,NEK2,NES,NINL,ODF2,OFD1,OPTN,PAFAH1B1,PCM1,PCNT,PHLDA1,PKMYT1,PLCB1,PLK1,PLK3,PLK4,PPM1D,PPME1,PPP1CB,PPP1R12A,PPP1R12B,PPP2R1A,PPP2R2A,PRKACA,PRKAR2B,SDCCAG8,SFI1,SKP1,SKP2,SSNA1,TAF2,TPD52L1,TUBA1A,TUBA4A,TUBB,TUBB4A,TUBB4B,TUBG1,USH1C,WEE1,WNT10B,YWHAE,YWHAG
GO:0000096:sulfur amino acid metabolic process	6	AHCY,BHMT,BHMT2,MAT1A,MTR,MTRR
GO:0000098:sulfur amino acid catabolic process	6	ADO,CTH,GADL1,MPST,TST,TXN2
GO:0000103:sulfate assimilation	3	PAPSS1,PAPSS2,SULT2B1
GO:0000105:histidine biosynthetic process	2	MTHFD1,MTHFD2L
GO:0000122:negative regulation of transcription by RNA polymerase II	857	A0A1B0GVI7,ACVR2B,AEBP1,AEBP2,AHR,AHRR,AJUBA,AKIRIN2,ALX1,ANKRD1,ANKRD2,ANKRD33,APBB1,AR,ARID1A,ARID5A,ARID5B,ARX,ASCL1,ASCL2,ASCL3,ASCL4,ASCL5,ATF2,ATF3,ATF7IP,ATN1,ATXN1,ATXN1L,AURKB,BACH1,BACH2,BARX2,BATF3,BCL11A,BCL6,BCL6B,BCOR,BEND3,BHLHE40,BHLHE41,BMI1,BMP2,BMP4,BMP6,BPTF,BRMS1,BRMS1L,BTG2,C1QBP,CALR,CAV1,CBFA2T2,CBFB,CBX2,CBX4,CBX5,CBX6,CBX7,CBX8,CC2D1A,CC2D1B,CCND1,CCND3,CCNE1,CD36,CDC73,CDK2,CDK6,CDX2,CDX4,CEBPA,CEBPB,CELA1,CGGBP1,CHCHD3,CHD8,CIC,CIITA,CIR1,CITED2,CNBP,CNOT1,CNOT2,COMMD3-BMI1,COPS2,CPEB3,CREB3L1,CREBBP,CREM,CRY1,CRY2,CRYM,CTBP1,CTCF,CTNNB1,CTR9,CUL3,CUX1,CUX2,CXXC5,DAB2IP,DACH1,DACT1,DCAF1,DDIT3,DDX20,DDX5,DEAF1,DICER1,DKK1,DLG1,DLL4,DLX1,DLX2,DLX4,DMAP1,DMBX1,DMRT1,DNAJA3,DNAJB5,DNAJC17,DNMT1,DNMT3A,DNMT3B,DPF2,DR1,DRAP1,DRD3,DUSP22,DUSP26,E2F1,E2F2,E2F3,E2F4,E2F5,E2F6,E2F7,E2F8,E4F1,EDN1,EDNRB,EED,EFNA1,EGR1,EHMT1,EHMT2,EID1,EID2,ELANE,ELK3,ELK4,EMX1,EMX2,EN1,ENO1,EOMES,EP300,EPC1,EPO,ERF,ESR1,ESR2,ESRRA,ESX1,ETS2,ETV3,ETV3L,ETV6,ETV7,EZH1,EZH2,EZR,FAM220A,FAM220BP,FASLG,FBLN5,FBP1,FERD3L,FEZF1,FEZF2,FGF9,FGFR1,FGFR2,FHL2,FLCN,FNIP1,FNIP2,FOSB,FOXA1,FOXC1,FOXC2,FOXD3,FOXE1,FOXF1,FOXG1,FOXH1,FOXJ1,FOXK1,FOXK2,FOXL2,FOXM1,FOXO1,FOXO3,FOXO4,FOXO6,FOXP2,FOXP3,FOXQ1,FOXS1,FRK,FST,GABPA,GADD45A,GATA1,GATA2,GATA3,GATA6,GATAD2A,GATAD2B,GCFC2,GFI1,GFI1B,GLI2,GLI3,GLIS1,GLIS2,GLIS3,GPS2,GSC,GSX1,GZF1,H1-0,H1-2,H1-3,H1-4,H1-5,HAMP,HAND1,HBP1,HBZ,HCFC1,HCFC2,HCLS1,HDAC1,HDAC10,HDAC2,HDAC3,HDAC4,HDAC5,HDAC7,HDAC8,HDAC9,HDGF,HELT,HES1,HES2,HES3,HES4,HES5,HES6,HES7,HESX1,HEXIM1,HEXIM2,HEY1,HEY2,HEYL,HHEX,HIC1,HINFP,HIPK2,HIVEP1,HJV,HMBOX1,HMG20A,HMGA2,HMGB1,HMX1,HNF1B,HNRNPA2B1,HNRNPU,HOMEZ,HOXA2,HOXA7,HOXB13,HOXB2,HOXB3,HOXB4,HOXB8,HOXC8,HOXD8,HOXD9,HSBP1,HSF1,HSF4,ID1,ID2,ID3,ID4,IFI16,IFI27,IFNG,IGBP1,IGF2,IGHMBP2,IKZF5,IL33,IMPACT,INSM1,INSM2,IRF2,IRF2BP1,IRF2BP2,IRF2BPL,IRF3,IRF7,IRF8,IRX1,IRX2,IRX3,IRX4,IRX5,IRX6,ISL1,J3QW42,JARID2,JAZF1,JDP2,JUN,JUNB,JUND,KANK2,KAT5,KCNIP3,KCTD1,KDM1A,KDM1B,KDM2B,KDM5A,KHDRBS1,KLF10,KLF11,KLF12,KLF16,KLF2,KLF3,KLF4,KLF5,KLF7,KLF8,KMT5A,LDB1,LDB2,LEF1,LEFTY1,LEP,LIN37,LMCD1,LMO1,LOXL2,LRRFIP1,LYAR,MACROH2A1,MACROH2A2,MAD2L2,MAEL,MAF,MAFK,MAGEA1,MAGEA2,MAP2K5,MAPK10,MAX,MBD1,MBD2,MBD3,MBD3L1,MBD3L2,MBD3L2B,MBD3L3,MBD3L4,MBD3L5,MCPH1,MDFI,MDM2,MDM4,MECP2,MED1,MED25,MEF2A,MEF2C,MEIS2,MEN1,MEPCE,MGA,MIER1,MIER2,MIER3,MITF,MKX,MLIP,MLX,MLXIPL,MMP12,MNT,MOSPD1,MSC,MSX1,MSX2,MTA1,MTA2,MTA3,MTDH,MTF1,MTF2,MXD1,MXD3,MXD4,MXI1,MYB,MYC,MYOCD,MYOZ1,MYOZ2,MYPOP,MYT1L,MZF1,N4BP2L2,NACC1,NACC2,NCOA2,NCOR1,NCOR1P1,NCOR2,NEDD4L,NEUROG3,NFATC2,NFE2L3,NFIA,NFIB,NFIC,NFIL3,NFIX,NFKB1,NFKB2,NFX1,NIPBL,NKAP,NKX2-1,NKX2-5,NKX3-2,NKX6-1,NKX6-2,NOC2L,NODAL,NOG,NOP53,NOTCH1,NOTCH2,NOTCH3,NOTCH4,NOTO,NPAS1,NR0B1,NR0B2,NR1D1,NR1D2,NR1H2,NR1H3,NR1H4,NR1I2,NR1I3,NR2C1,NR2C2,NR2E1,NR2E3,NR2F1,NR2F2,NR2F6,NR3C1,NR4A2,NR4A3,NR6A1,NRARP,NRIP1,NSD1,NSD2,NUPR2,OLIG2,OLIG3,ORC2,OSR1,OSR2,OTUD7B,OVOL1,OVOL2,OVOL3,PAF1,PARP1,PARP15,PARP9,PATZ1,PAWR,PAX5,PAX6,PAXBP1,PCBP3,PCGF1,PCGF2,PCGF6,PCNA,PDE2A,PDX1,PEG3,PER1,PER2,PER3,PEX2,PHB,PHF12,PHF14,PHF21A,PHF6,PIAS1,PIAS3,PIAS4,PKIA,PKIG,PLK1,PLK3,POU1F1,POU4F1,POU4F2,POU5F1,POU6F1,PPARA,PPARD,PPARG,PPID,PPM1A,PPP1R13L,PRDM1,PRDM12,PRDM13,PRDM14,PRDM16,PRDM2,PRDM5,PRDM6,PRKN,PRMT6,PROP1,PROX1,PROX2,PRRX1,PSEN1,PSMD10,PTCH1,PTH,PTPN2,PURA,PURB,PURG,RARA,RARB,RARG,RB1,RBBP7,RBL1,RBM10,RBPJ,RCOR1,REL,RELA,RELB,REST,RFC1,RFX5,RIF1,RIPPLY1,RIPPLY2,RIPPLY3,RITA1,RLIM,RNF2,RORC,RPL10,RPL23,RPS14,RPS27A,RREB1,RTF1,RUNX1,RUNX3,RXRA,RYBP,S100A1,SALL1,SALL2,SALL4,SAP130,SAP30,SARNP,SARS1,SATB1,SATB2,SCGB1A1,SCRT1,SCRT2,SDR16C5,SEMA4D,SFPQ,SHH,SIM2,SIN3A,SIN3B,SIRT1,SIRT2,SIRT6,SIRT7,SIX1,SKI,SKIL,SKOR1,SKOR2,SLA2,SMAD2,SMAD3,SMAD4,SMAD5,SMAD7,SMARCA2,SMARCA4,SMO,SMURF2,SMYD2,SNAI1,SNAI2,SNAI3,SNCA,SNW1,SORBS3,SOX10,SOX11,SOX14,SOX15,SOX18,SOX2,SOX30,SOX6,SOX8,SOX9,SP100,SP2,SP3,SP5,SPDEF,SPEN,SPI1,SQSTM1,SREBF1,SREBF2,SRY,STAT1,STAT3,STAT6,STRAP,SUDS3,SUFU,SUMO1,SUPT4H1,SUPT5H,SUV39H1,SUV39H2,SUZ12,TAF3,TAF7,TAF9B,TAGLN3,TAL1,TBL1X,TBL1XR1,TBR1,TBX1,TBX10,TBX15,TBX18,TBX19,TBX2,TBX20,TBX21,TBX22,TBX3,TBX4,TBX5,TBX6,TBXT,TCEAL1,TCERG1,TCF21,TCF25,TCF3,TCF7,TCF7L2,TCFL5,TCP10L,TDG,TENM2,TFAP2A,TFAP2B,TFAP2C,TFCP2L1,TGIF1,TGIF2,TGIF2LX,TGIF2LY,THAP1,THAP11,THRA,THRB,TIMELESS,TLE4,TLE5,TMPRSS6,TNF,TP53,TP63,TPR,TRAF6,TRIB3,TRIM27,TRIM28,TRIM29,TRIM33,TRIM37,TRPS1,TRPV1,TRPV4,TWIST1,TXN,TXNIP,UBA52,UBB,UBC,UBE2D1,UBE2D3,UBE2I,UHRF1,URI1,USP2,USP3,USP9X,UXT,VAX1,VAX2,VDR,VEGFA,VHL,VPS72,VRTN,VSX2,WDTC1,WFS1,WNT10B,WT1,WWC1,WWC2,WWC3,WWOX,WWP2,WWTR1,XPO1,YBX1,YBX3,YEATS2,YY1,ZBED6,ZBTB1,ZBTB12,ZBTB14,ZBTB16,ZBTB18,ZBTB2,ZBTB20,ZBTB21,ZBTB24,ZBTB26,ZBTB32,ZBTB34,ZBTB37,ZBTB4,ZBTB42,ZBTB45,ZBTB5,ZBTB6,ZBTB7A,ZBTB7B,ZC3H8,ZEB1,ZEB2,ZFHX2,ZFHX3,ZFHX4,ZFP36,ZFP90,ZFPM1,ZFPM2,ZGLP1,ZGPAT,ZHX1,ZHX2,ZHX3,ZKSCAN3,ZNF131,ZNF136,ZNF140,ZNF148,ZNF157,ZNF174,ZNF175,ZNF177,ZNF189,ZNF202,ZNF205,ZNF217,ZNF219,ZNF224,ZNF239,ZNF254,ZNF263,ZNF268,ZNF281,ZNF296,ZNF345,ZNF350,ZNF354B,ZNF366,ZNF382,ZNF431,ZNF497,ZNF501,ZNF536,ZNF564,ZNF567,ZNF568,ZNF589,ZNF608,ZNF613,ZNF649,ZNF668,ZNF675,ZNF691,ZNF692,ZNF746,ZNF8,ZNF835
GO:0000132:establishment of mitotic spindle orientation	32	ACTR10,ACTR1A,ACTR1B,ARHGEF2,BCCIP,CDK5RAP2,CENPA,DCTN1,DYNLT1,FGF10,GJA1,GPSM2,HTT,ITGB1,MAD2L1,MCPH1,MISP,NDC80,NDE1,NDEL1,NSFL1C,NUMA1,PAFAH1B1,PAX6,PLK1,SAPCD2,SPDL1,SPRY1,SPRY2,TBCB,UBXN2B,ZW10
GO:0000147:actin cortical patch assembly	6	TIGD5,WAS,WASL,WIPF1,WIPF2,WIPF3
GO:0000154:rRNA modification	4	NAT10,TFB1M,THUMPD1,TSR3
GO:0000165:MAPK cascade	254	ACTN2,ANGPT1,ARAF,AREG,ARTN,BRAF,BRAP,BTC,CALM1,CAMKK2,CCL2,CCL3,CCL5,CCR5,CSF2,CSF2RA,CSF2RB,CUL3,DAB2IP,DLG1,DLG2,DLG3,DLG4,DUSP5,DUSP6,DUSP7,DUSP9,EGF,EGFR,EPGN,ERBB2,ERBB3,ERBB4,EREG,FGF1,FGF10,FGF13,FGF16,FGF17,FGF18,FGF19,FGF2,FGF20,FGF22,FGF23,FGF3,FGF4,FGF5,FGF6,FGF7,FGF8,FGF9,FGFR1,FGFR2,FGFR3,FGFR4,FLT3,FLT3LG,FRS2,FRS3,FYN,GDNF,GFRA1,GFRA2,GFRA3,GFRA4,GRB2,GRIN1,GRIN2B,HBEGF,HGF,HRAS,HSF1,IL17RD,IL18,IL1B,IL2,IL2RA,IL2RB,IL2RG,IL3,IL31RA,IL3RA,IL5,IL5RA,IRS1,IRS2,ITPKB,JAK1,JAK2,JAK3,KBTBD7,KIT,KITLG,KL,KLB,KRAS,KSR1,LAMTOR2,LAMTOR3,LAT,LRRC7,LRRK2,MAP2K1,MAP2K2,MAP2K6,MAP3K1,MAP3K14,MAP3K15,MAP3K3,MAP3K4,MAP3K5,MAP4K1,MAP4K2,MAP4K3,MAP4K5,MAPK1,MAPK12,MAPK15,MAPK3,MAPK4,MAPK6,MAPK7,MAPKAPK2,MAPKAPK3,MAPKAPK5,MARK3,MBP,MEF2A,MEF2C,MEN1,MET,MOS,MYC,NCAM1,NEFL,NF1,NLK,NRAS,NRG1,NRG2,NRG4,NRTN,PABPN1,PAK1,PAK3,PAQR3,PBK,PDGFA,PDGFB,PDGFRA,PDGFRB,PEA15,PEBP1,PLVAP,POU4F2,PPM1L,PPP5C,PSMA1,PSMA2,PSMA3,PSMA4,PSMA5,PSMA6,PSMA7,PSMA8,PSMB1,PSMB10,PSMB11,PSMB2,PSMB3,PSMB4,PSMB5,PSMB6,PSMB7,PSMB8,PSMB9,PSMC1,PSMC2,PSMC3,PSMC4,PSMC5,PSMC6,PSMD1,PSMD10,PSMD11,PSMD12,PSMD13,PSMD14,PSMD2,PSMD3,PSMD4,PSMD5,PSMD6,PSMD7,PSMD8,PSMD9,PSME1,PSME2,PSME3,PSME4,PSMF1,PSPN,PTK2,PTK2B,PTPRA,RAF1,RANBP9,RAPGEF2,RASA1,RASA2,RASA3,RASA4,RASAL1,RASAL2,RASAL3,RASGEF1A,RASGRF1,RASGRF2,RASGRP1,RASGRP3,RASGRP4,RBX1,RET,RHBDD3,RIT2,SBK2,SCG2,SETX,SHANK3,SHC1,SHC2,SHC3,SMAD1,SOS1,SPRED1,SPTA1,SPTAN1,SPTB,SPTBN1,SPTBN2,SPTBN4,SPTBN5,SYNGAP1,TAOK3,TEK,TGFA,TGFB1,TNF,WDR83,YWHAB,YWHAE,ZFP36,ZFP36L1
GO:0000183:rDNA heterochromatin assembly	12	BAZ2A,BEND3,H3-3A,H3C1,H3C13,H4-16,MBD2,RRP8,SIRT1,SIRT2,SMARCA5,SUV39H1
GO:0000184:nuclear-transcribed mRNA catabolic process, nonsense-mediated decay	117	CASC3,CTIF,DCP1A,DCP1B,DCP2,DHX34,EIF3E,EIF4A3,EIF4G1,ETF1,EXOSC10,GSPT1,GSPT2,HELZ2,MAGOH,MAGOHB,NCBP1,NCBP2,PABPC1,PARN,PNLDC1,PNRC2,PPP2CA,PPP2R1A,PPP2R2A,PYM1,RBM8A,RNPS1,RPL10,RPL10A,RPL11,RPL12,RPL13,RPL13A,RPL14,RPL15,RPL17,RPL18,RPL18A,RPL19,RPL21,RPL22,RPL23,RPL23A,RPL24,RPL26,RPL27,RPL27A,RPL28,RPL29,RPL3,RPL30,RPL31,RPL32,RPL34,RPL35,RPL35A,RPL36,RPL36A,RPL37,RPL37A,RPL38,RPL39,RPL4,RPL41,RPL5,RPL6,RPL7,RPL7A,RPL8,RPL9,RPLP0,RPLP1,RPLP2,RPS10,RPS11,RPS12,RPS13,RPS14,RPS15,RPS15A,RPS16,RPS17,RPS18,RPS19,RPS2,RPS20,RPS21,RPS23,RPS24,RPS25,RPS26,RPS27,RPS27A,RPS28,RPS29,RPS3,RPS3A,RPS4X,RPS4Y1,RPS5,RPS6,RPS7,RPS8,RPS9,RPSA,SMG1,SMG5,SMG6,SMG7,SMG8,SMG9,UBA52,UPF1,UPF2,UPF3A,UPF3B
GO:0000185:activation of MAPKKK activity	12	DAB2IP,GADD45A,GADD45B,GADD45G,KSR1,MAP4K1,MAP4K2,MAP4K3,MAP4K5,TAB1,TNF,TRAF7
GO:0000186:activation of MAPKK activity	44	ADAM9,ADORA1,BMP4,BRAF,CARTPT,CRK,CRKL,EGF,EGFR,EIF2AK2,F2R,FRS2,GADD45B,GRM1,JAK2,KIDINS220,LAMTOR2,LAMTOR3,LRRK2,MAP3K1,MAP3K13,MAP3K14,MAP3K15,MAP3K2,MAP3K20,MAP3K21,MAP3K3,MAP3K4,MAP3K5,MAP3K6,MAP3K7,MAP3K8,MAPK1,MAPK3,MOS,NGF,NTRK1,PSEN1,RAF1,RAPGEF1,TAOK1,TAOK2,TAOK3,TGFBR1
GO:0000187:activation of MAPK activity	122	ADORA2B,ADRA2B,AGT,ALK,ARRB1,AVPI1,BMP2,C5,C5AR1,CD74,CD81,CDK1,CHRNA7,CRKL,CSPG4,CXCL17,CXCR4,DRD4,DUSP5,DUSP6,DUSP7,DUSP9,EGF,EPGN,ERP29,FGF1,FGF10,FGF2,FPR1,FRS2,GDF15,GFRAL,GHR,GHRL,GNG3,GRM1,GRM4,HGF,IGF1,IKBKG,IL1B,INAVA,INSR,IQGAP3,IRAK1,IRAK2,ITGA1,KARS1,KIT,LPAR1,LPAR3,LRRK2,MADD,MAP2K1,MAP2K2,MAP2K3,MAP2K4,MAP2K5,MAP2K6,MAP2K7,MAP3K11,MAP3K2,MAP3K7,MAPK1,MAPK10,MAPK11,MAPK14,MAPK3,MAPKAPK2,MAPKAPK3,MAPKAPK5,MOS,MUC20,NOD1,NOD2,NRG1,NTF3,NTRK3,P2RX7,PAK3,PBK,PDE6G,PDE6H,PEA15,PIK3CB,PLA2G1B,PLCE1,PRDX2,PRKAA1,PROK1,PROK2,PTPN11,PTPRC,RET,RIPK2,RPS27A,S1PR2,SAA1,SBK2,SHC1,SHC2,SOD1,STK39,TAB1,TAB2,TAB3,TAOK1,TAOK2,TDGF1,TGFA,TGFB3,THBS1,TLR4,TNF,TP73,TRAF6,UBA52,UBB,UBC,UBE2N,UBE2V1,WNT5A
GO:0000188:inactivation of MAPK activity	26	CAV1,DUSP1,DUSP10,DUSP14,DUSP16,DUSP18,DUSP2,DUSP21,DUSP3,DUSP4,DUSP5,DUSP6,DUSP7,DUSP8,DUSP9,GPS1,GPS2,LAX1,PP2D1,PPP2CA,PPP2R1A,RGS3,RGS4,SPRED1,SPRED2,SPRED3
