Pathway	Gene_List
KEGG_STEROID_HORMONE_BIOSYNTHESIS	AKR1C1,AKR1C2,AKR1C3,AKR1C4,AKR1D1,COMT,CYP11A1,CYP11B1,CYP11B2,CYP17A1,CYP19A1,CYP1A1,CYP1B1,CYP21A2,CYP3A4,CYP3A43,CYP3A5,CYP3A7,CYP7A1,CYP7B1,HSD11B1,HSD11B2,HSD17B1,HSD17B12,HSD17B2,HSD17B3,HSD17B6,HSD17B7,HSD17B8,HSD3B1,HSD3B2,SRD5A1,SRD5A2,SRD5A3,STS,SULT1E1,SULT2B1,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7
KEGG_OXIDATIVE_PHOSPHORYLATION	ATP12A,ATP4A,ATP4B,ATP5F1A,ATP5F1B,ATP5F1C,ATP5F1D,ATP5F1E,ATP5MC1,ATP5MC1P5,ATP5MC2,ATP5MC3,ATP5ME,ATP5MF,ATP5MG,ATP5PB,ATP5PD,ATP5PF,ATP5PO,ATP6AP1,ATP6V0A1,ATP6V0A2,ATP6V0A4,ATP6V0B,ATP6V0C,ATP6V0D1,ATP6V0D2,ATP6V0E1,ATP6V0E2,ATP6V1A,ATP6V1B1,ATP6V1B2,ATP6V1C1,ATP6V1C2,ATP6V1D,ATP6V1E1,ATP6V1E2,ATP6V1F,ATP6V1G1,ATP6V1G2,ATP6V1G3,ATP6V1H,COX10,COX11,COX15,COX17,COX4I1,COX4I2,COX5A,COX5B,COX6A1,COX6A2,COX6B1,COX6B2,COX6C,COX6CP3,COX7A1,COX7A2,COX7A2L,COX7B,COX7B2,COX7C,COX8A,COX8C,CYC1,LHPP,MT-ATP6,MT-ATP8,MT-CO1,MT-CO2,MT-CO3,MT-CYB,MT-ND1,MT-ND2,MT-ND3,MT-ND4,MT-ND4L,MT-ND5,MT-ND6,NDUFA1,NDUFA10,NDUFA11,NDUFA2,NDUFA3,NDUFA4,NDUFA4L2,NDUFA5,NDUFA6,NDUFA7,NDUFA8,NDUFA9,NDUFAB1,NDUFB1,NDUFB10,NDUFB2,NDUFB3,NDUFB4,NDUFB5,NDUFB6,NDUFB7,NDUFB8,NDUFB9,NDUFC1,NDUFC2,NDUFS1,NDUFS2,NDUFS3,NDUFS4,NDUFS5,NDUFS6,NDUFS7,NDUFS8,NDUFV1,NDUFV2,NDUFV3,PPA1,PPA2,SDHA,SDHB,SDHC,SDHD,TCIRG1,UQCR10,UQCR11,UQCRB,UQCRC1,UQCRC2,UQCRFS1,UQCRH,UQCRHL,UQCRQ
KEGG_PURINE_METABOLISM	ADA,ADCY1,ADCY10,ADCY2,ADCY3,ADCY4,ADCY5,ADCY6,ADCY7,ADCY8,ADCY9,ADK,ADPRM,ADSL,ADSS1,ADSS2,AK1,AK2,AK4,AK5,AK7,ALLC,AMPD1,AMPD2,AMPD3,APRT,ATIC,CANT1,DCK,DGUOK,ENPP1,ENPP3,ENTPD1,ENTPD2,ENTPD3,ENTPD4,ENTPD5,ENTPD6,ENTPD8,FHIT,GART,GDA,GMPR,GMPR2,GMPS,GUCY1A1,GUCY1A2,GUCY1B1,GUCY2C,GUCY2D,GUCY2F,GUK1,HPRT1,IMPDH1,IMPDH2,ITPA,NME1,NME1-NME2,NME2,NME3,NME4,NME5,NME6,NME7,NPR1,NPR2,NT5C,NT5C1A,NT5C1B,NT5C2,NT5C3A,NT5E,NT5M,NUDT2,NUDT5,NUDT9,PAICS,PAPSS1,PAPSS2,PDE10A,PDE11A,PDE1A,PDE1B,PDE1C,PDE2A,PDE3A,PDE3B,PDE4A,PDE4B,PDE4C,PDE4D,PDE5A,PDE6A,PDE6B,PDE6C,PDE6D,PDE6G,PDE6H,PDE7A,PDE7B,PDE8A,PDE8B,PDE9A,PFAS,PKLR,PKM,PNP,PNPT1,POLA1,POLA2,POLD1,POLD2,POLD3,POLD4,POLE,POLE2,POLE3,POLE4,POLR1A,POLR1B,POLR1C,POLR1D,POLR1E,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2J2,POLR2J3,POLR2K,POLR2L,POLR3A,POLR3B,POLR3C,POLR3D,POLR3F,POLR3G,POLR3GL,POLR3H,POLR3K,PPAT,PRIM1,PRIM2,PRPS1,PRPS1L1,PRPS2,PRUNE1,RRM1,RRM2,RRM2B,URAD,XDH,ZNRD1
KEGG_PYRIMIDINE_METABOLISM	AK3,CAD,CANT1,CDA,CMPK1,CMPK2,CTPS1,CTPS2,DCK,DCTD,DHODH,DPYD,DPYS,DTYMK,DUT,ENTPD1,ENTPD3,ENTPD4,ENTPD5,ENTPD6,ENTPD8,ITPA,NME1,NME1-NME2,NME2,NME3,NME4,NME5,NME6,NME7,NT5C,NT5C1A,NT5C1B,NT5C2,NT5C3A,NT5E,NT5M,NUDT2,PNP,PNPT1,POLA1,POLA2,POLD1,POLD2,POLD3,POLD4,POLE,POLE2,POLE3,POLE4,POLR1A,POLR1B,POLR1C,POLR1D,POLR1E,POLR2A,POLR2B,POLR2C,POLR2D,POLR2E,POLR2F,POLR2G,POLR2H,POLR2I,POLR2J,POLR2J2,POLR2J3,POLR2K,POLR2L,POLR3A,POLR3B,POLR3C,POLR3D,POLR3F,POLR3G,POLR3GL,POLR3H,POLR3K,PRIM1,PRIM2,RRM1,RRM2,RRM2B,TK1,TK2,TXNRD1,TXNRD2,TYMP,TYMS,UCK1,UCK2,UCKL1,UMPS,UPB1,UPP1,UPP2,UPRT,ZNRD1
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM	ABAT,ACY3,ADSL,ADSS1,ADSS2,AGXT,AGXT2,ALDH4A1,ALDH5A1,ASL,ASNS,ASPA,ASS1,CAD,CPS1,DDO,GAD1,GAD2,GFPT1,GFPT2,GLS,GLS2,GLUD1,GLUD2,GLUL,GOT1,GOT2,GPT,GPT2,IL4I1,NIT2,PPAT
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	AGXT,AGXT2,ALAS1,ALAS2,AMT,AOC2,AOC3,BHMT,CBS,CHDH,CTH,DAO,DLD,DMGDH,GAMT,GATM,GCAT,GLDC,GLYCTK,GNMT,MAOA,MAOB,PHGDH,PIPOX,PSAT1,PSPH,SARDH,SDS,SHMT1,SHMT2,SRR
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM	ADI1,AHCY,AHCYL1,AHCYL2,AMD1,APIP,BHMT,CBS,CDO1,CTH,DNMT1,DNMT3A,DNMT3B,DNMT3L,ENOPH1,GOT1,GOT2,IL4I1,LDHA,LDHAL6A,LDHAL6B,LDHB,LDHC,MAT1A,MAT2A,MAT2B,MPST,MTAP,MTR,SDS,SMS,SRM,TAT,TRDMT1
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION	ABAT,ACAA1,ACAA2,ACAD8,ACADM,ACADS,ACADSB,ACAT1,ACAT2,ALDH1B1,ALDH2,ALDH3A2,ALDH6A1,ALDH7A1,ALDH9A1,AOX1,AUH,BCAT1,BCAT2,BCKDHA,BCKDHB,DBT,DLD,ECHS1,EHHADH,HADH,HADHA,HADHB,HIBADH,HIBCH,HMGCL,HMGCS1,HMGCS2,HSD17B10,IL4I1,IVD,MCCC1,MCCC2,MCEE,MMUT,OXCT1,OXCT2,PCCA,PCCB
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_BIOSYNTHESIS	BCAT1,BCAT2,IARS1,IARS2,LARS1,LARS2,PDHA1,PDHA2,PDHB,VARS1,VARS2
KEGG_LYSINE_DEGRADATION	AADAT,AASDH,AASDHPPT,AASS,ACAT1,ACAT2,ALDH1B1,ALDH2,ALDH3A2,ALDH7A1,ALDH9A1,ASH1L,BBOX1,DLST,DOT1L,ECHS1,EHHADH,EHMT1,EHMT2,GCDH,HADH,HADHA,KMT5A,KMT5B,KMT5C,NSD1,NSD2,NSD3,OGDH,OGDHL,PIPOX,PLOD1,PLOD2,PLOD3,SETD1A,SETD1B,SETD2,SETD7,SETDB1,SETDB2,SETMAR,SUV39H1,SUV39H2,TMLHE
KEGG_ARGININE_AND_PROLINE_METABOLISM	ACY1,AGMAT,ALDH18A1,ALDH1B1,ALDH2,ALDH3A2,ALDH4A1,ALDH7A1,ALDH9A1,AMD1,AOC1,ARG1,ARG2,ASL,ASS1,AZIN2,CKB,CKM,CKMT1A,CKMT1B,CKMT2,CPS1,DAO,GAMT,GATM,GLS,GLS2,GLUD1,GLUD2,GLUL,GOT1,GOT2,LAP3,MAOA,MAOB,NAGS,NOS1,NOS2,NOS3,OAT,ODC1,OTC,P4HA1,P4HA2,P4HA3,PRODH,PRODH2,PYCR1,PYCR2,PYCR3,SAT1,SAT2,SMS,SRM
KEGG_HISTIDINE_METABOLISM	ACY3,ALDH1A3,ALDH1B1,ALDH2,ALDH3A1,ALDH3A2,ALDH3B1,ALDH3B2,ALDH7A1,ALDH9A1,AMDHD1,AOC1,ASPA,BUD23,CNDP1,DDC,FTCD,HAL,HDC,HEMK1,HNMT,LCMT1,LCMT2,MAOA,MAOB,METTL2B,METTL6,TRMT11,UROC1
KEGG_TYROSINE_METABOLISM	ADH1A,ADH1B,ADH1C,ADH4,ADH5,ADH6,ADH7,ALDH1A3,ALDH3A1,ALDH3B1,ALDH3B2,AOC2,AOC3,AOX1,BUD23,COMT,DBH,DCT,DDC,FAH,GOT1,GOT2,GSTZ1,HEMK1,HGD,HPD,IL4I1,LCMT1,LCMT2,MAOA,MAOB,METTL2B,METTL6,MIF,NAA80,PNMT,TAT,TH,TPO,TRMT11,TYR,TYRP1
KEGG_PHENYLALANINE_METABOLISM	ALDH1A3,ALDH3A1,ALDH3B1,ALDH3B2,AOC2,AOC3,DDC,GOT1,GOT2,HPD,IL4I1,MAOA,MAOB,MIF,NAA80,PAH,PRDX6,TAT
KEGG_TRYPTOPHAN_METABOLISM	AADAT,AANAT,ACAT1,ACAT2,ACMSD,AFMID,ALDH1B1,ALDH2,ALDH3A2,ALDH7A1,ALDH9A1,AOC1,AOX1,ASMT,CAT,CYP1A1,CYP1A2,CYP1B1,DDC,ECHS1,EHHADH,GCDH,HAAO,HADH,HADHA,IDO1,IDO2,IL4I1,INMT,KMO,KYNU,MAOA,MAOB,OGDH,OGDHL,TDO2,TPH1,TPH2,WARS1,WARS2
KEGG_BETA_ALANINE_METABOLISM	ABAT,ACADM,ALDH1B1,ALDH2,ALDH3A2,ALDH7A1,ALDH9A1,AOC2,AOC3,CNDP1,DPYD,DPYS,ECHS1,EHHADH,GAD1,GAD2,HADHA,HIBCH,MLYCD,SMS,SRM,UPB1
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM	ADO,BAAT,CDO1,CSAD,GAD1,GAD2,GGT1,GGT5,GGT6,GGT7
KEGG_SELENOAMINO_ACID_METABOLISM	AHCY,AHCYL1,AHCYL2,BUD23,CBS,CTH,GGT1,GGT5,GGT6,GGT7,HEMK1,LCMT1,LCMT2,MARS1,MARS2,MAT1A,MAT2A,MAT2B,METTL2B,METTL6,PAPSS1,PAPSS2,SCLY,SEPHS1,SEPHS2,TRMT11
KEGG_GLUTATHIONE_METABOLISM	ANPEP,G6PD,GCLC,GCLM,GGCT,GGT1,GGT5,GGT6,GGT7,GPX1,GPX2,GPX3,GPX4,GPX5,GPX6,GPX7,GSR,GSS,GSTA1,GSTA2,GSTA3,GSTA4,GSTA5,GSTK1,GSTM1,GSTM2,GSTM3,GSTM4,GSTM5,GSTO1,GSTO2,GSTP1,GSTT1,GSTT2,GSTZ1,IDH1,IDH2,LAP3,MGST1,MGST2,MGST3,ODC1,OPLAH,PGD,RRM1,RRM2,RRM2B,SMS,SRM,TXNDC12
KEGG_STARCH_AND_SUCROSE_METABOLISM	AGL,AMY1A,AMY1B,AMY1C,AMY2A,AMY2B,ENPP1,ENPP3,G6PC,G6PC2,GAA,GANC,GBA3,GBE1,GCK,GPI,GUSB,GYS1,GYS2,HK1,HK2,HK3,MGAM,PGM1,PGM2,PGM2L1,PYGB,PYGL,PYGM,SI,TREH,UGDH,UGP2,UGT1A1,UGT1A10,UGT1A3,UGT1A4,UGT1A5,UGT1A6,UGT1A7,UGT1A8,UGT1A9,UGT2A1,UGT2A3,UGT2B10,UGT2B11,UGT2B15,UGT2B17,UGT2B28,UGT2B4,UGT2B7,UXS1
KEGG_N_GLYCAN_BIOSYNTHESIS	ALG1,ALG10,ALG10B,ALG11,ALG12,ALG13,ALG14,ALG2,ALG3,ALG5,ALG6,ALG8,ALG9,B4GALT1,B4GALT2,B4GALT3,DAD1,DDOST,DOLPP1,DPAGT1,DPM1,DPM2,DPM3,FUT8,GANAB,MAN1A1,MAN1A2,MAN1B1,MAN1C1,MAN2A1,MAN2A2,MGAT1,MGAT2,MGAT3,MGAT4A,MGAT4B,MGAT5,MGAT5B,MOGS,RFT1,RPN1,RPN2,ST6GAL1,STT3A,STT3B,TUSC3
KEGG_OTHER_GLYCAN_DEGRADATION	AGA,ENGASE,FUCA1,FUCA2,GBA,GLB1,HEXA,HEXB,MAN2B1,MAN2B2,MAN2C1,MANBA,NEU1,NEU2,NEU3,NEU4
KEGG_O_GLYCAN_BIOSYNTHESIS	B3GNT6,B4GALT5,C1GALT1,C1GALT1C1,GALNT1,GALNT10,GALNT11,GALNT12,GALNT13,GALNT14,GALNT15,GALNT16,GALNT17,GALNT18,GALNT2,GALNT3,GALNT4,GALNT5,GALNT6,GALNT7,GALNT8,GALNT9,GALNTL5,GALNTL6,GCNT1,GCNT3,GCNT4,ST3GAL1,ST3GAL2,ST6GALNAC1
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	AMDHD2,CHIA,CHIT1,CMAS,CYB5R1,CYB5R3,FCSK,FPGT,GALE,GALK1,GALK2,GALT,GCK,GFPT1,GFPT2,GMDS,GMPPA,GMPPB,GNE,GNPDA1,GNPDA2,GNPNAT1,GPI,HEXA,HEXB,HK1,HK2,HK3,MPI,NAGK,NANP,NANS,NPL,PGM1,PGM2,PGM3,PMM1,PMM2,RENBP,TSTA3,UAP1,UGDH,UGP2,UXS1
KEGG_GLYCOSAMINOGLYCAN_DEGRADATION	ARSB,GALNS,GLB1,GNS,GUSB,HEXA,HEXB,HGSNAT,HPSE,HPSE2,HS3ST3A1,HS3ST3B1,HYAL1,HYAL2,HYAL3,HYAL4,IDS,IDUA,NAGLU,SGSH,SPAM1
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_CHONDROITIN_SULFATE	B3GALT6,B3GAT1,B3GAT2,B3GAT3,B4GALT7,CHPF,CHPF2,CHST11,CHST12,CHST13,CHST14,CHST15,CHST3,CHST7,CHSY1,CHSY3,CSGALNACT1,CSGALNACT2,DSE,UST,XYLT1,XYLT2
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	B3GNT2,B3GNT7,B4GALT1,B4GALT2,B4GALT3,B4GALT4,B4GAT1,CHST1,CHST2,CHST4,CHST6,FUT8,ST3GAL1,ST3GAL2,ST3GAL3
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_HEPARAN_SULFATE	B3GALT6,B3GAT1,B3GAT2,B3GAT3,B4GALT7,EXT1,EXT2,EXTL1,EXTL2,EXTL3,GLCE,HS2ST1,HS3ST1,HS3ST2,HS3ST3A1,HS3ST3B1,HS3ST5,HS6ST1,HS6ST2,HS6ST3,NDST1,NDST2,NDST3,NDST4,XYLT1,XYLT2
KEGG_GLYCEROLIPID_METABOLISM	AGK,AGPAT1,AGPAT2,AGPAT3,AGPAT4,AKR1A1,AKR1B1,ALDH1B1,ALDH2,ALDH3A2,ALDH7A1,ALDH9A1,AWAT2,CEL,DGAT1,DGAT2,DGKA,DGKB,DGKD,DGKE,DGKG,DGKH,DGKI,DGKQ,DGKZ,GK,GK2,GLA,GLYCTK,GPAM,GPAT2,GPAT3,GPAT4,LCLAT1,LIPC,LIPF,LIPG,LPL,MBOAT1,MBOAT2,MGLL,PLPP1,PLPP2,PLPP3,PNLIP,PNLIPRP1,PNLIPRP2,PNPLA3,TKFC
KEGG_INOSITOL_PHOSPHATE_METABOLISM	ALDH6A1,CDIPT,IMPA1,IMPA2,INPP1,INPP4A,INPP4B,INPP5A,INPP5B,INPP5E,INPP5J,INPP5K,INPPL1,IPMK,IPPK,ISYNA1,ITPK1,ITPKA,ITPKB,MINPP1,MIOX,OCRL,PI4KA,PI4KB,PIK3C2A,PIK3C2B,PIK3C2G,PIK3C3,PIK3CA,PIK3CB,PIK3CD,PIK3CG,PIKFYVE,PIP4K2A,PIP4K2B,PIP4K2C,PIP5K1A,PIP5K1B,PIP5K1C,PLCB1,PLCB2,PLCB3,PLCB4,PLCD1,PLCD3,PLCD4,PLCE1,PLCG1,PLCG2,PLCZ1,PTEN,SYNJ1,SYNJ2,TPI1
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOL_GPI_ANCHOR_BIOSYNTHESIS	DPM2,GPAA1,GPLD1,PGAP1,PIGA,PIGB,PIGC,PIGF,PIGG,PIGH,PIGK,PIGL,PIGM,PIGN,PIGO,PIGP,PIGQ,PIGS,PIGT,PIGU,PIGV,PIGW,PIGX,PIGY,PIGZ
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM	ACHE,ADPRM,AGPAT1,AGPAT2,AGPAT3,AGPAT4,CDIPT,CDS1,CDS2,CHAT,CHKA,CHKB,CHPT1,CRLS1,DGKA,DGKB,DGKD,DGKE,DGKG,DGKH,DGKI,DGKQ,DGKZ,ETNK1,ETNK2,GNPAT,GPAM,GPAT2,GPAT3,GPAT4,GPD1,GPD1L,GPD2,JMJD7-PLA2G4B,LCAT,LCLAT1,LPCAT1,LPCAT2,LPCAT3,LPCAT4,LPGAT1,LYPLA1,LYPLA2,MBOAT1,MBOAT2,MBOAT7,PCYT1A,PCYT1B,PCYT2,PEMT,PGS1,PHOSPHO1,PISD,PLA2G10,PLA2G12A,PLA2G12B,PLA2G15,PLA2G1B,PLA2G2A,PLA2G2C,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G3,PLA2G4A,PLA2G4B,PLA2G4E,PLA2G5,PLA2G6,PLD1,PLD2,PLPP1,PLPP2,PLPP3,PTDSS1,PTDSS2,TAZ
KEGG_ETHER_LIPID_METABOLISM	AGPS,CHPT1,ENPP2,ENPP6,JMJD7-PLA2G4B,LPCAT1,LPCAT2,LPCAT4,PAFAH1B1,PAFAH1B2,PAFAH1B3,PAFAH2,PLA2G10,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G2A,PLA2G2C,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G3,PLA2G4A,PLA2G4B,PLA2G4E,PLA2G5,PLA2G6,PLA2G7,PLD1,PLD2,PLPP1,PLPP2,PLPP3
KEGG_ARACHIDONIC_ACID_METABOLISM	AKR1C3,ALOX12,ALOX12B,ALOX15,ALOX15B,ALOX5,CBR1,CBR3,CYP2B6,CYP2C18,CYP2C19,CYP2C8,CYP2C9,CYP2E1,CYP2J2,CYP2U1,CYP4A11,CYP4A22,CYP4F2,CYP4F3,EPHX2,GGT1,GGT5,GGT6,GGT7,GPX1,GPX2,GPX3,GPX4,GPX5,GPX6,GPX7,HPGDS,JMJD7-PLA2G4B,LTA4H,LTC4S,PLA2G10,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G2A,PLA2G2C,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G3,PLA2G4A,PLA2G4B,PLA2G4E,PLA2G5,PLA2G6,PTGDS,PTGES,PTGES2,PTGIS,PTGS1,PTGS2,TBXAS1
KEGG_LINOLEIC_ACID_METABOLISM	AKR1B10,ALOX15,CYP1A2,CYP2C18,CYP2C19,CYP2C8,CYP2C9,CYP2E1,CYP2J2,CYP3A4,CYP3A43,CYP3A5,CYP3A7,JMJD7-PLA2G4B,PLA2G10,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G2A,PLA2G2C,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G3,PLA2G4A,PLA2G4B,PLA2G4E,PLA2G5,PLA2G6
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM	ACOX1,ACOX3,FADS2,JMJD7-PLA2G4B,PLA2G10,PLA2G12A,PLA2G12B,PLA2G1B,PLA2G2A,PLA2G2C,PLA2G2D,PLA2G2E,PLA2G2F,PLA2G3,PLA2G4A,PLA2G4B,PLA2G4E,PLA2G5,PLA2G6
KEGG_SPHINGOLIPID_METABOLISM	ACER1,ACER2,ACER3,ARSA,ASAH1,ASAH2,B4GALT6,CERK,DEGS1,DEGS2,ENPP7,GAL3ST1,GALC,GBA,GLA,GLB1,KDSR,NEU1,NEU2,NEU3,NEU4,PLPP1,PLPP2,PLPP3,SGMS1,SGMS2,SGPL1,SGPP1,SGPP2,SMPD1,SMPD2,SMPD3,SMPD4,SPHK1,SPHK2,SPTLC1,SPTLC2,UGCG,UGT8
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	ABO,B3GALT1,B3GALT2,B3GALT5,B3GNT2,B3GNT3,B3GNT4,B3GNT5,B4GALT1,B4GALT2,B4GALT3,B4GALT4,B4GAT1,FUT1,FUT2,FUT3,FUT4,FUT5,FUT6,FUT7,FUT9,GCNT2,ST3GAL3,ST3GAL4,ST3GAL6,ST8SIA1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	A4GALT,B3GALNT1,B3GALT5,FUT1,FUT2,FUT9,GBGT1,GLA,HEXA,HEXB,NAGA,ST3GAL1,ST3GAL2,ST8SIA1
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GANGLIO_SERIES	B3GALT4,B4GALNT1,GLB1,HEXA,HEXB,SLC33A1,ST3GAL1,ST3GAL2,ST3GAL5,ST6GALNAC3,ST6GALNAC4,ST6GALNAC5,ST6GALNAC6,ST8SIA1,ST8SIA5
KEGG_PYRUVATE_METABOLISM	ACACA,ACACB,ACAT1,ACAT2,ACOT12,ACSS1,ACSS2,ACYP1,ACYP2,AKR1B1,ALDH1B1,ALDH2,ALDH3A2,ALDH7A1,ALDH9A1,DLAT,DLD,GLO1,GRHPR,HAGH,HAGHL,LDHA,LDHAL6A,LDHAL6B,LDHB,LDHC,LDHD,MDH1,MDH2,ME1,ME2,ME3,PC,PCK1,PCK2,PDHA1,PDHA2,PDHB,PKLR,PKM
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM	ACO1,ACO2,AFMID,CS,GLYCTK,GRHPR,HAO1,HAO2,HYI,MDH1,MDH2,MTHFD1,MTHFD1L,MTHFD2,MTHFD2L,PGP
KEGG_PROPANOATE_METABOLISM	ABAT,ACACA,ACACB,ACADM,ACAT1,ACAT2,ACSS1,ACSS2,ACSS3,ALDH1B1,ALDH2,ALDH3A2,ALDH6A1,ALDH7A1,ALDH9A1,ECHS1,EHHADH,HADHA,HIBCH,LDHA,LDHAL6A,LDHAL6B,LDHB,LDHC,MCEE,MLYCD,MMUT,PCCA,PCCB,SUCLA2,SUCLG1,SUCLG2,SUCLG2P2
KEGG_BUTANOATE_METABOLISM	AACS,ABAT,ACADS,ACAT1,ACAT2,ACSM1,ACSM2A,ACSM3,ACSM4,ACSM5,AKR1B10,ALDH1B1,ALDH2,ALDH3A2,ALDH5A1,ALDH7A1,ALDH9A1,BDH1,BDH2,ECHS1,EHHADH,GAD1,GAD2,HADH,HADHA,HMGCL,HMGCS1,HMGCS2,L2HGDH,OXCT1,OXCT2,PDHA1,PDHA2,PDHB
