GO_MF	Gene_Size	Gene_List
GO:0000287:magnesium ion binding	216	AASDHPPT,ABL1,ABL2,ADCY10,ADCY2,ADPRH,ADPRHL1,ADPRS,ADSS1,ADSS2,ALPI,ALPP,ARF1,ARL3,ATP10A,ATP10B,ATP10D,ATP11A,ATP11B,ATP11C,ATP4A,ATP8A1,ATP8A2,ATP8B1,ATP8B2,ATP8B3,ATP8B4,ATP9A,ATP9B,BRSK1,BRSK2,CDC42BPA,CDC42BPB,CDC42BPG,CDK2,CERK,CIB2,CIB3,CIB4,CILK1,CLYBL,COMT,DCTPP1,DHX36,DIS3L2,DUT,DXO,DYRK2,DYRK3,ENDOV,ENO1,ENO2,ENO3,ENO4,ENOPH1,ENOSF1,EPHX2,ERN1,ERN2,EXD2,EYA2,FAN1,FARSB,FEN1,FIGNL1,FOXK2,GCLC,GEM,GEN1,GLUL,GNAI1,GSS,HACL1,HMGCL,HPGDS,HPRT1,IDH1,IDH2,IDH3A,IDH3B,IDH3G,ILVBL,IMPA1,IRAK3,IRAK4,ITPK1,LATS1,LHPP,LRRK2,MAP2K7,MAP3K20,MAP3K5,MAP3K6,MAP3K7,MAP3K8,MAPK12,MARK1,MARK2,MAST1,MAST2,MAST3,MAST4,MORC2,MOV10L1,MSH2,MSH6,MTG2,MTHFD2,MTPAP,MVK,NCS1,NEK6,NIM1K,NLK,NLRC4,NME1,NT5C1A,NT5C1B,NT5C3A,NT5C3B,NUAK2,NUDT12,NUDT16,NUDT18,NUDT3,NUDT5,NUDT7,OPA1,OXSR1,PAPOLA,PCK1,PDCD6,PDE2A,PDXK,PDXP,PGM1,PGM2,PGM3,PGM5,PGP,PI4K2A,PIF1,PINK1,PKLR,PKM,PLK1,PPA1,PPA2,PPM1A,PPM1B,PPM1N,PRKACA,PRKACB,PRPS1,PRPS1L1,PRPS2,PRPSAP1,PRPSAP2,PRTFDC1,PSPH,PUDP,Q6ZN92,RAN,RAP2A,RHEB,RNASEH1,RP2,RPS6KA1,RPS6KA2,RPS6KA3,RPS6KA4,RPS6KA5,RPS6KA6,RRAGC,S100P,SEPTIN4,SIK1,SIK1B,SIK2,SIK3,SNCA,SNRK,SPHK1,SRPK1,SRPK2,SRR,STK11,STK26,STK3,STK38,STK38L,STK4,SUCLA2,SUCLG2,TDG,TDP2,TESC,THG1L,THTPA,TKT,TOP2A,TPPP,TREX1,TREX2,TSSK1B,TSSK2,TSSK3,TSSK4,TSSK6,UBA2,WEE1,WEE2,WRN,XXYLT1,XYLT2,YDJC
GO:0000293:ferric-chelate reductase activity	3	CYB561,CYBRD1,FRRS1
GO:0000295:adenine nucleotide transmembrane transporter activity	2	SLC25A17,SLC25A5
GO:0000298:endopolyphosphatase activity	4	NUDT10,NUDT11,NUDT3,NUDT4
GO:0000309:nicotinamide-nucleotide adenylyltransferase activity	3	NMNAT1,NMNAT2,NMNAT3
GO:0000339:RNA cap binding	12	EIF4A1,EIF4E,EIF4E2,EIF4G3,IFIT5,LARP1,LSM1,NCBP1,NCBP2,NCBP2L,NCBP3,SNUPN
GO:0000340:RNA 7-methylguanosine cap binding	13	AGO2,CYFIP1,CYFIP2,DCPS,EIF4E,EIF4E1B,EIF4E2,EIF4E3,GEMIN5,LARP1,NCBP1,NCBP2,NCBP3
GO:0000400:four-way junction DNA binding	17	ABL1,BLM,FANCM,GEN1,HMGB1,HMGB2,HMGB3,MEN1,MSH2,MSH6,RAD51B,RAD51C,RAD51D,WRN,XRCC2,XRCC3,YY1
GO:0000403:Y-form DNA binding	5	BLM,MEN1,RAD18,RBBP8,WRN
GO:0000405:bubble DNA binding	8	ABL1,BLM,ERCC5,HMGB1,NEIL3,RECQL4,WRN,XPC
GO:0000406:double-strand/single-strand DNA junction binding	2	MSH2,RBBP8
GO:0000701:purine-specific mismatch base pair DNA N-glycosylase activity	2	MUTYH,PCNA
GO:0000703:oxidized pyrimidine nucleobase lesion DNA N-glycosylase activity	2	NTHL1,SMUG1
GO:0000774:adenyl-nucleotide exchange factor activity	9	BAG1,BAG2,BAG3,GRPEL1,GRPEL2,HSPBP1,HSPH1,PFN1,SIL1
GO:0000810:diacylglycerol diphosphate phosphatase activity	3	PLPP1,PLPP4,PLPP5
GO:0000822:inositol hexakisphosphate binding	3	GLE1,ITPR3,XPR1
GO:0000825:inositol tetrakisphosphate 6-kinase activity	2	IPMK,ITPK1
GO:0000827:inositol-1,3,4,5,6-pentakisphosphate kinase activity	2	PPIP5K1,PPIP5K2
GO:0000828:inositol hexakisphosphate kinase activity	5	IP6K1,IP6K2,IP6K3,PPIP5K1,PPIP5K2
GO:0000829:inositol heptakisphosphate kinase activity	2	PPIP5K1,PPIP5K2
GO:0000832:inositol hexakisphosphate 5-kinase activity	5	IP6K1,IP6K2,IP6K3,PPIP5K1,PPIP5K2
GO:0000900:translation repressor activity, mRNA regulatory element binding	15	CELF1,CELF4,CPEB1,CPEB2,CPEB3,CPEB4,DHFR,H3BNC9,PAIP2,PAIP2B,PURA,RARA,SHMT1,TYMS,ZNF540
GO:0000976:transcription regulatory region sequence-specific DNA binding	89	ANHX,ARNTL,ATF3,ATF6,BORCS8-MEF2B,CREB3L3,CRY2,DDIT3,DUX4,DUX4L9,EGR1,FOXJ1,FOXK1,FOXK2,FOXO3,GATA1,GATA3,HDAC1,HR,JMJD1C,JUN,KDM3A,KDM3B,MAFK,MEF2A,MEF2B,MEF2C,MEF2D,MTA2,NFE2,NFE2L1,NFE2L2,NFE2L3,NFKB1,NKX3-1,NONO,NR1D1,NR1D2,NR1H2,NR1H3,NR1H4,NR1I2,NR1I3,NR5A1,NR5A2,PER1,PER2,PER3,PITX2,POU5F1,PPARA,PPARD,PPARG,PRKN,PSPC1,RARA,RARB,RARG,REST,RFX5,RFXANK,RFXAP,SFPQ,SIN3A,SIX1,SIX2,SIX3,SIX4,SIX5,SIX6,SOX10,SOX11,SOX12,SOX13,SOX2,SOX4,SOX5,SOX6,SUV39H1,SUV39H2,TBX18,TFAP2A,THRA,THRB,VDR,ZNF568,ZNF605,ZNF658,ZNF93
GO:0000977:RNA polymerase II regulatory region sequence-specific DNA binding	347	A0A1B0GW55,ACTN4,AEBP1,AIRE,ALX1,ALX3,ALX4,ARID3A,ARID3B,ARID3C,ARID5B,ARX,ASCL1,ASCL2,ASCL3,ASCL4,ASCL5,ATF1,ATF2,ATF3,ATF4,ATF5,ATF6,BARHL1,BARHL2,BARX1,BARX2,BCOR,BHLHA15,BHLHA9,BHLHE40,BHLHE41,BNC1,BNC2,BORCS8-MEF2B,CDC5L,CDX1,CDX2,CDX4,CEBPB,CGGBP1,CNBP,CREB3,CREB3L3,CREBRF,CREM,CUX1,CUX2,DACH1,DBP,DEAF1,DMBX1,DMRT1,DMRT2,DRGX,DUX1,DUX3,DUX4,DUX4L2,DUX4L3,DUX4L4,DUX4L5,DUX4L6,DUX4L7,DUX4L9,DUX5,DUXA,DUXB,E2F2,E2F3,E2F6,E4F1,EAF2,EGR1,ELF5,ENO1,EOMES,EP300,ESRRG,ESX1,ETV3,ETV5,ETV6,ETV7,F2Z351,FERD3L,FIGLA,FOSL2,FOXC1,FOXC2,FOXD3,FOXF1,FOXF2,FOXK1,FOXM1,GATA1,GATA4,GBX1,GBX2,GLI1,GLI2,GLI3,GLIS1,GLIS2,GLIS3,HAND1,HAND2,HELT,HES1,HES2,HES3,HES4,HES5,HES6,HES7,HEY1,HEY2,HEYL,HHEX,HIF1A,HLF,HMX1,HMX3,HNF1A,HNF1B,HNF4A,HNF4G,HOXA4,HOXB1,HOXB4,HOXC10,HOXC4,HOXD10,HOXD3,HOXD4,HOXD8,HOXD9,HSF2,IER2,IKZF3,IKZF5,IRF2,ISX,JARID2,KAT2B,KLF12,KLF15,KLF3,KLF8,LEF1,LHX1,LHX2,LHX3,LHX4,LHX5,LHX6,LHX8,LHX9,LIN54,LMO2,LMX1A,LMX1B,LYL1,M0R129,M0R135,M0R378,MACC1,MACROH2A1,MACROH2A2,MAX,MEF2A,MEF2B,MEF2C,MEF2D,MGA,MLX,MLXIP,MNT,MSC,MSX1,MSX2,MTF1,MTF2,MXD3,MXI1,MYOD1,MYOG,NANOG,NFIL3,NFKB1,NFKB2,NFX1,NFXL1,NHLH1,NHLH2,NKX2-1,NKX2-6,NME1,NR1D1,NR1D2,NR1H2,NR1H3,NR1H4,NR1I2,NR1I3,NR2C1,NR2C2,NR2E1,NR2E3,NR2F1,NR2F2,NR2F6,NR3C1,NR4A1,NR4A2,NR4A3,NR5A1,ONECUT3,OSR1,OSR2,PARP1,PAX9,PBX1,PBX2,PCGF3,PCGF5,PCGF6,PHOX2A,PHOX2B,PLAGL1,PPARA,PPARD,PPARG,PRDM14,PRDM2,PRDM5,PTF1A,PURA,PURB,PURG,RARA,RARB,RARG,REL,RELA,RELB,RFX6,RHOXF1,RHOXF2,RHOXF2B,RORA,RPS3,RREB1,RUNX1,RUNX3,RXRA,RXRB,RXRG,SALL2,SATB1,SATB2,SCRT1,SCRT2,SCX,SNAI1,SNAI2,SOX13,SP1,SP3,SP5,SREBF1,STAT6,STOX1,TAL1,TAL2,TBR1,TBX1,TBX10,TBX15,TBX18,TBX19,TBX2,TBX20,TBX21,TBX22,TBX3,TBX4,TBX5,TBX6,TBXT,TCF15,TCF21,TCF23,TCF24,TEF,TESMIN,TFAP2A,TFAP2B,TFAP2C,TFAP2D,TFAP2E,TFCP2L1,TFDP1,TFDP2,THRA,THRB,TRPS1,TWIST1,TWIST2,V9GYH0,VDR,VEZF1,XBP1,YBX3,ZBTB4,ZBTB5,ZHX3,ZIC1,ZIC2,ZIC3,ZIC4,ZIC5,ZNF101,ZNF14,ZNF142,ZNF175,ZNF205,ZNF433,ZNF44,ZNF441,ZNF442,ZNF443,ZNF517,ZNF563,ZNF57,ZNF589,ZNF625,ZNF627,ZNF696,ZNF700,ZNF709,ZNF791,ZNF799,ZNF823,ZNF833P,ZNF844,ZNF878
GO:0000978:RNA polymerase II cis-regulatory region sequence-specific DNA binding	655	A0A0G2JS52,A0A1W2PQL4,ACTB,ACTL6A,AEBP2,AGO1,AKNA,AKNAD1,APP,AR,ARID3B,ARNT,ARNT2,ARNTL,ARNTL2,ARX,ASCL1,ASCL2,ATF2,ATF3,ATF4,ATF6,ATF6B,ATOH1,BACH1,BACH2,BATF,BATF2,BATF3,BCL11A,BCL11B,BCL3,BCL6,BCL6B,BHLHE41,BORCS8-MEF2B,BPTF,BSX,CALCOCO1,CARF,CC2D1A,CC2D1B,CCAR1,CDK9,CDX1,CDX2,CDX4,CEBPA,CEBPB,CEBPD,CEBPE,CEBPZ,CHD2,CHD4,CHD7,CIART,CLOCK,CREB1,CREB3,CRX,CTCF,CTCFL,CUX2,D6RAR5,DACH1,DDIT3,DDN,DHX36,DHX9,DLX1,DLX2,DLX3,DLX4,DLX5,DLX6,DMTF1,DNMT3A,DPF2,DRAP1,DUX4,E2F4,E2F7,E2F8,EBF2,EBF3,EED,EGR2,EHF,ELF1,ELF3,ELF4,ELK1,ELK3,ELK4,EMX1,EMX2,EN1,EP300,EPAS1,ERG,ESR1,ESR2,ESRRA,ESRRB,ETS1,ETS2,ETV1,ETV2,ETV4,ETV6,EZH2,FEZF1,FEZF2,FIGLA,FLI1,FOS,FOSB,FOSL1,FOSL2,FOXA1,FOXA2,FOXC2,FOXD1,FOXF1,FOXI1,FOXJ1,FOXJ2,FOXJ3,FOXK2,FOXL2,FOXO3,FOXP2,FOXP3,FOXQ1,FOXS1,FUBP3,GABPA,GATA1,GATA2,GATA3,GATA4,GATA5,GATA6,GATAD2B,GCFC2,GCM1,GLI1,GLI2,GLI3,GMEB1,GMEB2,GRHL1,GRHL3,GSC,GSX1,GZF1,H2AZ1,H3-3A,HAND1,HBP1,HCFC1,HDAC1,HDAC2,HDAC4,HDAC5,HDAC6,HELT,HES2,HES3,HESX1,HEYL,HHEX,HIC2,HINFP,HIVEP1,HLTF,HMGA2,HNF4A,HNF4G,HNRNPC,HNRNPK,HNRNPU,HOXA10,HOXA2,HOXA3,HOXA5,HOXA6,HOXA7,HOXA9,HOXB1,HOXB2,HOXB3,HOXB5,HOXB6,HOXB7,HOXB9,HOXC11,HOXC4,HOXC5,HOXC6,HOXC9,HOXD13,HOXD3,HOXD9,HSF1,HSF2,HSF4,HSF5,HSFX1,HSFX3,HSFX4,HSFY1,IFI16,INSM1,IRF1,IRF3,IRF4,IRF7,IRF8,IRF9,ISL1,JDP2,JUN,JUNB,JUND,KCNIP3,KDM2B,KDM6A,KDM6B,KLF10,KLF13,KLF15,KLF16,KLF4,KLF5,KLF6,KLF7,KLF8,LEF1,LHX2,LHX3,LITAF,LRRFIP1,MAF,MAFA,MAFB,MAFF,MAFG,MAFK,MAZ,MBD2,MBD3,MED1,MED12,MED8,MEF2A,MEF2B,MEF2C,MEF2D,MEIS1,MEIS2,MEIS3,MEIS3P1,MEIS3P2,MEOX1,MEOX2,MESP1,MESP2,MITF,MIXL1,MKX,MSC,MSGN1,MTA1,MTF1,MUC1,MXD1,MYB,MYBL1,MYBL2,MYC,MYCL,MYCLP1,MYCN,MYEF2,MYF5,MYF6,MYOCD,MYOD1,MYOG,MYPOP,MYT1,MYT1L,MZF1,NACC1,NACC2,NANOG,NANOGP1,NANOGP8,NCOA2,NDN,NEUROD6,NEUROG3,NFAT5,NFATC1,NFATC2,NFATC3,NFATC4,NFE2L1,NFE2L2,NFE2L3,NFIA,NFIB,NFIC,NFIL3,NFKB1,NFKB2,NFYA,NFYB,NFYC,NHLH2,NKRF,NKX1-1,NKX1-2,NKX2-1,NKX2-2,NKX2-3,NKX2-4,NKX2-5,NKX2-6,NKX2-8,NKX3-1,NKX3-2,NKX6-1,NKX6-2,NKX6-3,NLRC5,NOBOX,NONO,NOTCH1,NOTO,NPAS2,NPAS4,NR1D1,NR1D2,NR1H2,NR1H4,NR2C1,NR2C2,NR2E1,NR2E3,NR2F1,NR2F6,NR3C1,NR4A1,NR4A2,NR4A3,NR5A1,NR5A2,NR6A1,NRF1,NRIP1,NRL,NSD1,ONECUT1,ONECUT2,OTX1,OTX2,OVOL1,PATZ1,PAX1,PAX5,PAX6,PAX8,PAXBP1,PBX1,PBX2,PBX3,PBX4,PDX1,PER1,PGR,PHOX2B,PITX1,PITX2,PITX3,PKNOX1,PKNOX2,PLAG1,PLAGL1,POU1F1,POU2AF1,POU2F1,POU2F2,POU2F3,POU3F2,POU4F1,POU4F2,POU4F3,PPARA,PRDM1,PRDM15,PRDM4,PRDM5,PROP1,PROX1,PRRX1,RAD23B,RAX,RAX2,RBBP4,RBMX,RBPJ,RBPJL,REL,RELA,RELB,REST,RFX1,RFX2,RFX3,RFX4,RFX5,RFX6,RFX7,RFX8,RORA,RORB,RORC,RREB1,RUNX1,RUNX2,RUVBL2,RXRA,SAFB,SALL1,SARNP,SARS1,SATB2,SFPQ,SIRT1,SIX1,SIX2,SIX3,SIX4,SIX5,SIX6,SKIL,SMAD1,SMAD2,SMAD3,SMAD4,SMAD5,SMAD6,SMAD9,SMARCA4,SMARCB1,SMARCC1,SMARCC2,SMARCD2,SMARCE1,SMYD3,SNAI3,SNAPC3,SOX1,SOX10,SOX11,SOX15,SOX18,SOX21,SOX4,SOX6,SOX9,SP1,SP2,SP3,SP7,SPI1,SPIB,SPIC,SREBF1,SREBF2,SRF,ST18,STAT1,STAT2,STAT3,STAT4,STAT5A,STAT5B,STAT6,STK16,SUB1,SUZ12,TARDBP,TBP,TBPL1,TBPL2,TBR1,TBX15,TBX19,TBX2,TBX20,TBX3,TBX5,TBX6,TBXT,TCF12,TCF15,TCF20,TCF3,TCF4,TCF7,TCF7L1,TCF7L2,TCFL5,TEAD1,TEAD2,TEAD3,TEAD4,TFAP2A,TFAP2B,TFAP2C,TFAP2E,TFCP2,TFE3,TFEC,TGIF1,TGIF2,TGIF2LX,TGIF2LY,THAP1,THAP11,THRAP3,TLX1,TLX2,TLX3,TOP1,TOX2,TP53,TP73,TXK,USP3,UTY,VAX1,VAX2,VENTX,WBP2,XBP1,YAP1,YBX1,YY1,YY2,ZBED1,ZBTB1,ZBTB11,ZBTB12,ZBTB14,ZBTB16,ZBTB17,ZBTB2,ZBTB20,ZBTB25,ZBTB26,ZBTB32,ZBTB33,ZBTB34,ZBTB37,ZBTB39,ZBTB45,ZBTB49,ZBTB6,ZBTB7A,ZBTB7B,ZBTB7C,ZFHX2,ZFHX3,ZFHX4,ZFP42,ZFPM1,ZGPAT,ZIC1,ZIC3,ZKSCAN3,ZNF100,ZNF114,ZNF117,ZNF131,ZNF134,ZNF138,ZNF141,ZNF143,ZNF148,ZNF195,ZNF202,ZNF217,ZNF219,ZNF239,ZNF253,ZNF257,ZNF273,ZNF277,ZNF281,ZNF331,ZNF335,ZNF395,ZNF430,ZNF431,ZNF460,ZNF479,ZNF486,ZNF492,ZNF502,ZNF506,ZNF516,ZNF519,ZNF536,ZNF562,ZNF572,ZNF626,ZNF628,ZNF639,ZNF66,ZNF664,ZNF668,ZNF675,ZNF676,ZNF678,ZNF679,ZNF680,ZNF682,ZNF692,ZNF695,ZNF708,ZNF713,ZNF714,ZNF716,ZNF718,ZNF723,ZNF724,ZNF727,ZNF730,ZNF732,ZNF735,ZNF736,ZNF737,ZNF746,ZNF750,ZNF826P,ZNF85,ZNF876P,ZNF90,ZNF92,ZNF98,ZSCAN21
GO:0000979:RNA polymerase II core promoter sequence-specific DNA binding	24	CEBPB,EZH2,FOS,GBX2,GTF2B,H2AZ1,H3-3A,HDAC1,KDM3A,MACROH2A1,NRF1,PAX6,POU2AF1,POU2F1,RELA,REST,RUVBL2,SOX3,SOX8,STAT1,TAF1,TBP,TBPL1,TBPL2
