GeneA	GeneB	EdgeWeight
ABCC2	NDUFB9	0.195
ABCC2	NDUFS8	0.291
ABCC2	NFKB1	0.187
ABCC2	OXA1L	0.427
ABCC2	PDZD3	0.329
ABCC2	PDZK1	0.936
ABCC2	PICALM	0.386
ABCC2	PRR3	0.386
ABCC2	PTRH2	0.4
ABCC2	RAB11B	0.443
ABCC2	RAB14	0.401
ABCC2	RAB31	0.403
ABCC2	RDX	0.627
ABCC2	SLC30A5	0.786
ABCC2	SLC9A3R1	0.739
ABCC2	SSR1	0.386
ABCC2	SYNJ2BP	0.401
ABCC2	TCIRG1	0.447
ABCC2	TOMM22	0.397
ABCC2	TOMM70A	0.387
ABCC2	UBQLN1	0.16
ABCC2	UQCRFS1	0.235
ABCC2	VAMP2	0.223
ABCC3	ATP9A	0.409
ABCC3	CANX	0.456
ABCC3	EEF2	0.435
ABCC3	HRAS	0.185
ABCC3	IDH3A	0.412
ABCC3	VCP	0.456
ABCC3	VDAC1	0.422
ABCC3	VDAC2	0.475
ABCC3	VDAC3	0.465
ABCC4	ATP2B2	0.18
ABCC4	CFTR	0.372
ABCC4	HAX1	0.463
ABCC4	LGALS3	0.523
ABCC4	LGALS9C	0.568
ABCC4	LPAR1	0.196
ABCC4	PDZK1	0.658
ABCC4	REEP5	0.185
ABCC4	SLC4A8	0.234
ABCC4	SLC9A3R1	0.552
ABCC4	SLC9A3R2	0.451
ABCC4	SNTA1	0.313
ABCC4	SNX27	0.774
ABCC4	TMEM128	0.527
ABCC5	KRAS	0.169
ABCC5	NUPL1	0.519
ABCC5	SCN3B	0.169
ABCC5	TRDN	0.192
ABCC6	ALDH1A1	0.172
ABCC6	FURIN	0.181
ABCC6	GCN1L1	0.185
ABCC6	HSPA5	0.166
ABCC8	KCNJ11	0.998
ABCC8	KCNJ8	0.995
ABCC8	RAPGEF4	0.983
ABCC9	EEF1G	0.295
ABCC9	HSPB2	0.217
ABCC9	KCNJ11	0.989
ABCC9	KCNJ8	0.993
ABCC9	LDHA	0.458
ABCD1	ABCD2	0.944
ABCD1	ABCD3	0.984
ABCD1	AGPS	0.858
ABCD1	ATP2B2	0.242
ABCD1	ELAVL1	0.386
ABCD1	IQCF1	0.204
ABCD1	ITPR3	0.421
ABCD1	NDUFA12	0.386
ABCD1	NDUFB4	0.386
ABCD1	PEX19	0.988
ABCD1	PEX3	0.994
ABCD1	SLC15A1	0.214
ABCD1	SLC27A2	0.835
ABCD1	VASN	0.173
ABCD2	ABCD3	0.946
ABCD2	PEX19	0.976
ABCD2	PEX3	0.963
ABCD3	AGPS	0.885
ABCD3	ATP6V1C1	0.4
ABCD3	COQ9	0.187
ABCD3	CTDNEP1	0.151
ABCD3	DHX9	0.384
ABCD3	DYRK1A	0.157
ABCD3	DYRK1B	0.157
ABCD3	EEF2	0.437
ABCD3	FAF2	0.463
ABCD3	HIPK4	0.157
ABCD3	KRAS	0.176
ABCD3	MPV17	0.465
ABCD3	MRPL41	0.386
ABCD3	MYC	0.26
ABCD3	NDUFA4	0.187
ABCD3	NDUFB11	0.386
ABCD3	NDUFS4	0.386
ABCD3	NDUFV1	0.393
ABCD3	NNT	0.414
ABCD3	OCIAD1	0.187
ABCD3	PEX14	0.819
ABCD3	PEX19	0.991
ABCD3	PEX3	0.995
ABCD3	RAB5A	0.186
ABCD3	RAB7A	0.286
ABCD3	STOM	0.158
ABCD3	SURF1	0.386
ABCD3	SYNJ2BP	0.425
ABCD3	TAP1	0.434
ABCD3	TIMMDC1	0.386
ABCD3	TOMM20	0.575
ABCD3	TOMM40	0.455
ABCD3	UNK	0.255
ABCD3	VAPA	0.162
ABCD3	ZNF454	0.402
ABCD4	ATP2B2	0.173
ABCD4	FSHR	0.552
ABCD4	PDGFRB	0.183
ABCD4	SLC17A2	0.187
ABCE1	ABCF1	0.956
ABCE1	ACAT1	0.175
ABCE1	AIF1L	0.227
ABCE1	AIFM1	0.221
ABCE1	AK2	0.167
ABCE1	AP1B1	0.251
ABCE1	APEX1	0.211
ABCE1	ASNS	0.166
ABCE1	ATP6V1A	0.188
ABCE1	ATXN10	0.25
ABCE1	CACNA2D1	0.187
ABCE1	CBX3	0.166
ABCE1	CCNY	0.227
ABCE1	CD44	0.16
ABCE1	CENPJ	0.15
ABCE1	CIAO1	0.398
ABCE1	CISD1	0.186
ABCE1	CNIH4	0.161
ABCE1	CPSF3	0.336
ABCE1	CUL4A	0.178
ABCE1	DCP2	0.618
ABCE1	DDX18	0.926
ABCE1	DDX46	0.24
ABCE1	DIABLO	0.24
ABCE1	DKC1	0.4
ABCE1	DNM1L	0.222
ABCE1	DUT	0.214
ABCE1	EIF3D	0.665
ABCE1	EIF3F	0.744
ABCE1	EIF3H	0.792
ABCE1	EIF3J	0.988
ABCE1	EIF4A3	0.841
ABCE1	EPB41	0.186
ABCE1	ETF1	0.999
ABCE1	EXOSC4	0.196
ABCE1	FAM96B	0.509
ABCE1	FANCI	0.16
ABCE1	FBL	0.901
ABCE1	FUBP3	0.203
ABCE1	GNB1	0.159
ABCE1	GSPT1	0.791
ABCE1	HDAC2	0.323
ABCE1	HM13	0.476
ABCE1	HRAS	0.29
ABCE1	HSPA8	0.179
ABCE1	HSPE1	0.301
ABCE1	IMMT	0.198
ABCE1	IQGAP1	0.196
ABCE1	JUP	0.184
ABCE1	KARS	0.667
ABCE1	KIAA1524	0.161
ABCE1	KIF5B	0.197
ABCE1	MAPRE1	0.19
ABCE1	MDN1	0.182
ABCE1	MED23	0.213
ABCE1	MMS19	0.801
ABCE1	MYC	0.216
ABCE1	NAA10	0.21
ABCE1	NAT10	0.496
ABCE1	NDUFA4	0.16
ABCE1	NDUFAF4	0.298
ABCE1	ORAOV1	0.855
ABCE1	PDHA1	0.186
ABCE1	PDIA3	0.223
ABCE1	PEBP1	0.21
ABCE1	PFDN2	0.202
ABCE1	PFKL	0.194
ABCE1	PNP	0.153
ABCE1	POLR1B	0.895
ABCE1	PPP1CB	0.244
ABCE1	PPP1CC	0.319
ABCE1	PPP6C	0.308
ABCE1	PSIP1	0.212
ABCE1	PSMA2	0.312
ABCE1	PSMA5	0.461
ABCE1	PSMB3	0.194
ABCE1	PSMC2	0.487
ABCE1	PSMD1	0.435
ABCE1	PSMD13	0.217
ABCE1	PSMD14	0.497
ABCE1	PSMD4	0.177
ABCE1	PSMD8	0.245
ABCE1	PTER	0.371
ABCE1	PTGES3	0.251
ABCE1	RALA	0.174
ABCE1	RAVER1	0.187
ABCE1	RBBP7	0.251
ABCE1	RFC4	0.273
ABCE1	RNASEL	0.983
ABCE1	RPL21	0.972
ABCE1	RPL32	0.968
ABCE1	RPL35A	0.857
ABCE1	RPL36	0.815
ABCE1	RPL4	0.911
ABCE1	RPL7	0.793
ABCE1	RPS12	0.976
ABCE1	RPS25	0.975
ABCE1	RPS27	0.975
ABCE1	RPS29	0.857
ABCE1	RPS3A	0.984
ABCE1	RRP12	0.544
ABCE1	RRP1B	0.567
ABCE1	SAE1	0.191
ABCE1	SDHB	0.305
ABCE1	SF3A1	0.189
ABCE1	SFXN4	0.161
